異動,藥品代號,藥品英文名稱,藥品中文名稱,規格量,規格單位,單複方,參考價,有效起日,有效迄日,製造廠名稱,劑型,成份,ATC_CODE,
,AC36083100,DUBLECON TABLETS ”EVEREST”,”永勝”雙克菌錠,0,,複方,1.5,1030801,9991231,永勝藥品工業股份有限,錠劑,SULFAMETHOXAZOLE+TRIMETHOPRIM,J01EE01,
,AC36084421,CORKELIN ORAL GEL 1MG/GM ”M.S”(TRIAMCINOLONE),”美西”口康寧口內膠１公絲／公克（安西諾隆）,5,GM,單方,28.4,1040801,9991231,美西製藥有限公司,口內膏,TRIAMCINOLONE (ACETONIDE),A01AC01,
,AC36084429,CORKELIN ORAL GEL 1MG/GM ”M.S”(TRIAMCINOLONE),”美西”口康寧口內膠１公絲／公克（安西諾隆）,10,GM,單方,59,1091001,9991231,美西製藥有限公司,口內膏,TRIAMCINOLONE (ACETONIDE),A01AC01,
,AC36098100,A.P.N. TABLETS 100MG ”C.H.” (ALLOPURINOL),”正和”治尿酸錠１００公絲（異嘌呤醇）,0,,單方,1.5,1030801,9991231,正和製藥股份有限公司,錠劑,ALLOPURINOL,M04AA01,
,AC36099100,DICLOFENAC E.F.C. TABLETS 25MG ”KOJAR”,”國嘉”達克芬腸溶膜衣錠２５毫克,0,,單方,1.5,1031201,9991231,國嘉製藥工業股份有限,腸溶膜衣錠,DICLOFENAC SODIUM,M01AB05,
,AC360991G0,DICLOFENAC E.F.C. TABLETS 25MG ”KOJAR”(鋁箔/膠箔),”國嘉”達克芬腸溶膜衣錠２５毫克,0,,單方,2,1040601,9991231,國嘉製藥工業股份有限,腸溶錠,DICLOFENAC SODIUM,M01AB05,
,AC36105100,NAPOSIN C.R. TABLETS 750MG (NAPROXEN),能百鎮持效錠７５０公絲（那普洛仙）,0,,單方,3.55,1120401,9991231,中國化學製藥股份有限,持續性藥效錠,NAPROXEN,M01AE02,
,AC36132100,BLOODNONE CAPSULES 250MG (TRANEXAMIC ACID) ”EVEREST”,”永勝”止血能膠囊２５０公絲（妥內散敏）,0,,單方,1.5,1060401,9991231,永勝藥品工業股份有限,膠囊劑,TRANEXAMIC ACID,B02AA02,
,AC36151100,MUBROXOL TABLETS 30MG (AMBROXOL) ”C.C.P.C”,平痰息錠３０公絲（安布索）,0,,單方,1.5,1050401,9991231,中國化學製藥股份有限,錠劑,AMBROXOL HYDROCHLORIDE,R05CB06,
,AC361511G0,MUBROXOL TABLETS 30MG (AMBROXOL) ”C.C.P.C”  (鋁箔/膠箔),平痰息錠３０公絲（安布索）,0,,單方,2,1001201,9991231,中國化學製藥股份有限,錠劑,AMBROXOL HYDROCHLORIDE,R05CB06,
,AC36157100,”URIMARONE TABLETS 50MG (BENZBROMARONE) ””ASTAR”””,優爾痛錠５０公絲（本補麻隆）,0,,單方,1.5,1040201,9991231,安星製藥股份有限公司,錠劑,BENZBROMARONE,M04AB03,
,AC36160110,AMOLIN POWDER FOR ORAL SUSPENSION (AMOXICILLIN),”””永豐””萬博黴素懸液用粉（安莫西林）”,60,ML,單方,31,1040101,9991231,永豐化學工業股份有限,懸液用粉劑,AMOXYCILLIN (TRIHYDRATE),J01CA04,
,AC36162100,PIROCAM CAPSULES 20MG ”KOJAR” (PIROXICAM),得康膠囊２０毫克（匹若卡）,0,,單方,1.5,1091001,9991231,國嘉製藥工業股份有限,膠囊劑,PIROXICAM,M01AC01,
,AC361621G0,PIROCAM CAPSULES 20MG ”KOJAR” (PIROXICAM)(鋁箔/膠箔),”國嘉”得康膠囊２０公絲（匹若卡）,0,,單方,2,1040101,9991231,國嘉製藥工業股份有限,膠囊劑,PIROXICAM,M01AC01,
,AC36170212,EMELIME INJECTION 5MG/ML ”T.F.”,”大豐”抗吐寧注射液５毫克/毫升,2,ML,單方,15,1091201,9991231,大豐製藥股份有限公司,注射劑,METOCLOPRAMIDE HCL,A03FA01,
,AC36172157,SECODRINE-C SYRUP,息咳寧可達糖漿,120,ML,複方,25.5,1120401,9991231,晟德大藥廠股份有限公,糖漿劑,AMMONIUM CHLORIDE+CHLORPHENIRAMINE MALEATE+CODEINE PHOSPHATE+GUAIACOL GLYCERYL ETHER (=GUAIFENESIN)+PHENYLEPHRINE HCL,R05FA02,
,AC36174321,”BETAGEN CREAM ””GCPC”””,美佳健乳膏,5,GM,複方,12.4,1120401,9991231,人人化學製藥股份有限,乳膏劑,BETAMETHASONE (VALERATE)+GENTAMICIN (SULFATE),D07CC01,
,AC36174329,BETAGEN CREAM 10G,美佳健乳膏,10,GM,複方,14.9,1080401,9991231,人人化學製藥股份有限,乳膏劑,BETAMETHASONE (VALERATE)+GENTAMICIN (SULFATE),D07CC01,
,AC36174335,”BETAGEN CREAM ””GCPC”””,美佳健乳膏,15,GM,複方,19.6,1040201,9991231,人人化學製藥股份有限,乳膏劑,BETAMETHASONE (VALERATE)+GENTAMICIN (SULFATE),D07CC01,
,AC36174338,BETAGEN CREAM”GCPC”20GM,”人人”美佳健乳膏,20,GM,複方,19.6,1040201,9991231,人人化學製藥股份有限,乳膏劑,BETAMETHASONE (VALERATE)+GENTAMICIN (SULFATE),D07CC01,
,AC36178100,PIROCAM CAPSULES 10MG ”KOJAR”,得康膠囊１０毫克（匹若卡）,0,,單方,1.5,1040101,9991231,國嘉製藥工業股份有限,膠囊劑,PIROXICAM,M01AC01,
,AC361781G0,PIROCAM CAPSULES 10MG ”KOJAR” (PIROXICAM)(鋁箔/膠箔),”國嘉”得康膠囊１０公絲（匹若卡）,0,,單方,2,1040201,9991231,國嘉製藥工業股份有限,膠囊劑,PIROXICAM,M01AC01,
,AC36181321,”VACORT CREAM ””GCPC”””,黴克乳膏,5,GM,複方,13.8,1120401,9991231,人人化學製藥股份有限,乳膏劑,ISOCONAZOLE NITRATE,D01AC55,
,AC36181329,”VACORT CREAM””GCPC”””,黴克乳膏,10,GM,複方,22,1120401,9991231,人人化學製藥股份有限,乳膏劑,ISOCONAZOLE NITRATE,D01AC55,
,AC36181335,”VACORT CREAM ””GCPC”””,黴克乳膏,15,GM,複方,38.3,1120401,9991231,人人化學製藥股份有限,乳膏劑,ISOCONAZOLE NITRATE,D01AC55,
,AC36181338,”VACORT CREAM ””GCPC”””,黴克乳膏,20,GM,複方,60,1040201,9991231,人人化學製藥股份有限,乳膏劑,DIFLUCORTOLONE VALERATE,D01AC55,
,AC36184100,PICKTON TABLET,必克痛錠,0,,單方,1.5,1100201,9991231,約克製藥股份有限公司,錠劑,BACLOFEN,M03BX01,
,AC36188100,B.B CAPSULE 300MG (CLINDAMYCIN ),比比黴素膠囊３００公絲（克林達黴素）,0,,單方,2.74,1120401,9991231,瑞士藥廠股份有限公司,膠囊劑,CLINDAMYCIN (HCL HYDRATE),J01FF01,
,AC36192100,NIXO TABLETS 10MG ”H.S.”(NICERGOLINE),”華興”瑙舒錠10公絲（尼什枸寧）,0,,單方,4.07,1120401,9991231,華興化學製藥廠股份有,錠劑,NICERGOLINE,C04AE02,
,AC36195100,ZUSENLU TABLETS 12MG ”CHINTENG”(BETAHISTINE),”井田”制眩暈錠１２毫克（貝他喜汀）,0,,單方,1.5,1040201,9991231,井田國際醫藥廠股份有,錠劑,BETAHISTINE MESYLATE,N07CA01,
,AC361951G0,ZUSENLU TABLETS 12MG ”CHINTENG”(BETAHISTINE)(鋁箔/膠箔),”井田”制眩暈錠１２毫克（貝他喜汀）,0,,單方,2,1031001,9991231,井田國際醫藥廠股份有,錠劑,BETAHISTINE MESYLATE,N07CA01,
,AC36201100,METFORMIN TABLET 500MG ”LITA”,”利達”鹽酸美仿敏錠５００毫克（二甲二脈）,0,,單方,1.5,1061201,9991231,利達製藥股份有限公司,錠劑,METFORMIN HCL,A10BA02,
,AC362011G0,METFORMIN TABLET 500MG ”LITA”(鋁箔/膠箔),”利達”鹽酸美仿敏錠５００毫克（二甲二脈）,0,,單方,2,1050201,9991231,利達製藥股份有限公司,錠劑,METFORMIN HCL,A10BA02,
,AC36204100,BICANOL TABLETS 500MG ”CHINTENG” (METFORMIN),”井田”美康寧錠５００公絲（二甲二脈）,0,,單方,1.5,1030801,9991231,井田國際醫藥廠股份有,錠劑,METFORMIN HCL,A10BA02,
,AC362041G0,BICANOL TABLETS 500MG (METFORMIN) ”CHINTENG”(鋁箔/膠箔),美康寧錠５００公絲（二甲二脈）,0,,單方,2,1030801,9991231,井田國際醫藥廠股份有,錠劑,METFORMIN HCL,A10BA02,
,AC36214100,CITAMET F.C. TABLETS 400MG ”Y.C.” (CIMETIDINE),”元宙”治潰寧膜衣錠４００公絲（希美替定）,0,,單方,1.5,1031201,9991231,元宙化學製藥股份有限,膜衣錠,CIMETIDINE,A02BA01,
,AC362141G0,CITAMET F.C TABLETS 400MG ”YC” (CIMETIDINE)(鋁箔/膠箔),”元宙”治潰寧膜衣錠４００公絲（希美替定）,0,,單方,2,1031201,9991231,元宙化學製藥股份有限,膜衣錠,CIMETIDINE,A02BA01,
,AC36215100,PARKRYL TABLETS ”M.S.”(SELEGILINE),巴可癒錠（希利治林）,0,,單方,2.24,1120401,9991231,美時化學製藥股份有限,錠劑,DEPRENYL L- HCL (=SELEGILINE HCL),N04BD01,
,AC36216100,CHIWEGON TABLETS ”EVEREST”,”永勝”全復康錠,0,,複方,1.5,1030801,9991231,永勝藥品工業股份有限,錠劑,ACETAMINOPHEN (=PARACETAMOL)+CHLORMEZANONE,M03BB52,
,AC36237100,LINTON F.C. TABLETS 10MG ”KOJAR” (HYOSCINE BUTYLBROMIDE),”國嘉”寧痛膜衣錠１０毫克（東莨菪鹼）,0,,單方,1.5,1031201,9991231,國嘉製藥工業股份有限,膜衣錠,BUTYLSCOPOLAMINE BROMIDE (=HYOSCINE BUTYLBROMIDE),A03BB01,
,AC362371G0,LINTON F.C. TABLETS 10MG ”KOJAR” (HYOSCINE BUTYLBROMIDE)(鋁箔/膠箔),寧痛膜衣錠１０毫克（東莨菪鹼）(鋁箔/膠箔),0,,單方,2,1040101,9991231,國嘉製藥工業股份有限,膜衣錠,BUTYLSCOPOLAMINE BROMIDE (=HYOSCINE BUTYLBROMIDE),A03BB01,
,AC36240100,”GLIZIDE TABLETS 80MG ””H.S.”” (GLICLAZIDE)”,”黃氏”鎮血糖錠８０公絲（葛立克拉）,0,,單方,1.5,1040101,9991231,黃氏製藥股份有限公司,錠劑,GLICLAZIDE,A10BB09,
,AC362401G0,”GLIZIDE TABLETS 80MG ””H.S.”” (GLICLAZIDE) (鋁箔/膠箔)”,”黃氏”鎮血糖錠８０公絲（葛立克拉）,0,,單方,2,1040101,9991231,黃氏製藥股份有限公司,錠劑,GLICLAZIDE,A10BB09,
,AC36241100,”TIMEPIN TABLETS 30MG ””H.S.”” (TIMEPIDIUM)”,”””黃氏””威樂弛錠３０毫克”,0,,單方,2.55,1110101,9991231,黃氏製藥股份有限公司,錠劑,TIMEPIDIUM BROMIDE,A03AB19,
,AC36266100,MELICIN CAPSULES 100MG (MINOCYCLINE) ”H.S.”,”華興”美力欣膠囊１００公絲（美諾四環素）,0,,單方,5.9,1040401,9991231,華興化學製藥廠股份有,膠囊劑,MINOCYCLINE (HCL),J01AA08,
,AC36267100,ANAZIN TABLETS 50MG (FLURBIPROFEN) ”SHOU CHAN”,安那疼錠５０公絲（夫比普洛芬）,0,,單方,1.5,1080401,9991231,十全實業股份有限公司,錠劑,FLURBIPROFEN,M01AE09,
,AC362671G0,ANAZIN TABLETS 50MG (FLURBIPROFEN) ”SHOU CHAN” (鋁箔/膠箔),安那疼錠５０公絲（夫比普洛芬）,0,,單方,2,1030801,9991231,十全實業股份有限公司,錠劑,FLURBIPROFEN,M01AE09,
,AC36280100,REPININ TABLETS 5MG (OXYBUTYNIN),理頻寧錠５毫克（奧斯必得寧）,0,,單方,2.02,1120401,9991231,衛肯生技製藥股份有限,錠劑,OXYBUTYNIN CHLORIDE (=OXIBUTININA HCL=OXYBUTYNIN H,G04BD04,
,AC36281100,CYCLIN CAPSULE 100MG (MINOCYCLINE) ”PURZER”,”瑞安”賽靈膠囊１００毫克（美諾四環素）,0,,單方,5.9,1040401,9991231,瑞安大藥廠股份有限公,膠囊劑,MINOCYCLINE (HCL),J01AA08,
,AC36283100,BECLOFEN TABLETS 10MG ”Y.Y.”,”應元”痙可避錠10毫克,0,,單方,1.5,1031201,9991231,應元化學製藥股份有限,錠劑,BACLOFEN,M03BX01,
,AC36312100,TOCOLIN F.C.T. 30MG (CARBETAPENTANE CITRATE) ”EVEREST”,”永勝” 止咳平膜衣錠30公絲(咳貝坦),0,,單方,1.5,1030801,9991231,永勝藥品工業股份有限,膜衣錠,CARBETAPENTANE CITRATE,R05DB05,
,AC36315321,CLOBETASOL CREAM 0.5MG/GM ”SINPHAR”,”杏輝”可立舒乳膏 0.5 毫克/公克（可洛貝他索）,5,GM,單方,11.3,1120401,9991231,杏輝藥品工業股份有限,乳膏劑,CLOBETASOL PROPIONATE,D07AD01,
,AC36315324,CLOBETASOL CREAM 0.5MG/GM ”SINPHAR”,”杏輝”可立舒乳膏 0.5 毫克/公克（可洛貝他索）,7,GM,單方,12.4,1120401,9991231,杏輝藥品工業股份有限,乳膏劑,CLOBETASOL PROPIONATE,D07AD01,
,AC36315329,CLOBETASOL CREAM 0.5MG/GM ”SINPHAR”,”杏輝”可立舒乳膏 0.5 毫克/公克（可洛貝他索）,10,GM,單方,13.2,1120401,9991231,杏輝藥品工業股份有限,乳膏劑,CLOBETASOL PROPIONATE,D07AD01,
,AC36315340,CLOBETASOL CREAM 0.5MG/GM ”SINPHAR”,”杏輝”可立舒乳膏 0.5 毫克/公克（可洛貝他索）,25,GM,單方,54,1120401,9991231,杏輝藥品工業股份有限,乳膏劑,CLOBETASOL PROPIONATE,D07AD01,
,AC36322100,ETHOS CAPSULES 100MG (MECLOFENAMIC ACID),依痛膠囊１００公絲（美克芬那梅）,0,,單方,2.18,1000601,9991231,永信藥品工業股份有限,膠囊劑,MECLOFENAMIC ACID,M01AG04,
,AC36330151,”Purzer” Ventol Liquid 5.34mg/mL (Theophylline),”瑞安”舒喘內服液5.34毫克/毫升（茶鹼）,60,ML,單方,25,1001201,9991231,瑞安大藥廠股份有限公,內服液劑,THEOPHYLLINE (ANHYDROUS),R03DA04,
,AC36332143,GIKO DROPS 9.6MG (GYNKGOFLAVONGLYCOSIDE) ”H.S.”,”黃氏” 循克滴劑9.6毫克/毫升（銀杏葉類黃酮配醣體）,30,ML,單方,176,1071001,9991231,黃氏製藥股份有限公司,內服液劑,GINKGO BILOBA EXTRACT,N06DX02,
,AC36338100,HEMOBEND TABLETS 100MG (BENZARONE) ”H.S.”,”華興”脈痔免錠１００公絲（本剎隆）,0,,單方,2.75,1120401,9991231,華興化學製藥廠股份有,錠劑,BENZARONE,C05CX92,
,AC363491G0,UFORMIN TABLETS 500MG （鋁箔/膠箔）,克醣錠500公絲（鋁箔/膠箔）,0,,單方,2,1010201,9991231,泰宗生物科技股份有限,錠劑,METFORMIN HCL,A10BA02,
,AC36350500,BISADYL SUPPOSITORIES 10MG (BISACODYL) ”MEIDER”,秘瀉樂栓劑１０公絲（秘可舒）,0,,單方,5,1040801,9991231,明德製藥股份有限公司,栓劑,BISACODYL,A06AB02,
,AC36356100,TIDACT CAPSULES 300MG (CLINDAMYCIN),帝達黴素膠囊３００公絲（克林達黴素）,0,,單方,2.74,1120401,9991231,永信藥品工業股份有限,膠囊劑,CLINDAMYCIN,J01FF01,
,AC36360100,VORTAGEN E.C. TABLETS 50MG ”EVEREST” (DICLOFENAC),”永勝” 莫得炎腸溶錠５０毫克（待克菲那）,0,,單方,1.5,1030801,9991231,永勝藥品工業股份有限,腸溶錠,DICLOFENAC SODIUM,M01AB05,
,AC36365209,CETAXIME FOR INJECTION,菌妥定乾粉注射劑,1,GM,單方,100,1120401,9991231,意欣國際有限公司,乾粉注射劑,CEFOTAXIME (SODIUM),J01DD01,
,AC36365212,CETAXIME FOR INJECTION,菌妥定乾粉注射劑,2,GM,單方,340,1120401,9991231,意欣國際有限公司,乾粉注射劑,CEFOTAXIME (SODIUM),J01DD01,
,AC36365265,CETAXIME FOR INJECTION,菌妥定乾粉注射劑,250,MG,單方,79,1120401,9991231,意欣國際有限公司,乾粉注射劑,CEFOTAXIME (SODIUM),J01DD01,
,AC36367100,AMITON TABLETS ”H.S.”,”黃氏”安利通錠,0,,複方,1.8,1120401,9991231,黃氏製藥股份有限公司,錠劑,AMILORIDE HCL (DIHYDRATE)+HYDROCHLOROTHIAZIDE,C03EA01,
,AC36370100,CLONICE TABLETS 5MG”T.F.” (OXYBUTYNIN),”大豐”制尿舒錠５公絲（奧斯必得寧）,0,,單方,2.02,1120401,9991231,大豐製藥股份有限公司,錠劑,OXYBUTYNIN CHLORIDE (=OXIBUTININA HCL=OXYBUTYNIN H,G04BD04,
,AC36385100,MESCO CAPSULES 500UG (MECOBALAMIN) ”YY”,”應元”美斯可膠囊５００亳公絲（甲鈷胺明）,0,,單方,1.53,1120401,9991231,應元化學製藥股份有限,膠囊劑,MECOBALAMIN,B03BA05,
,AC363851G0,MESCO CAPSULES 500UG ”YY”(MECOBALAMIN)(鋁箔/膠箔),”應元” 美斯可膠囊５００亳公絲（甲鈷胺明）,0,,單方,2,1030801,9991231,應元化學製藥股份有限,膠囊劑,MECOBALAMIN,B03BA05,
,AC36389100,LEGAFEN TABLETS ”Y.C” (BACLOFEN),”元宙”力健芬錠（貝可芬）,0,,單方,1.5,1031201,9991231,元宙化學製藥股份有限,錠劑,BACLOFEN,M03BX01,
,AC36395100,GLIGLUCON TABLETS 5MG (GLIPIZIDE) ”ROYAL”,克醣錠５公絲（格力匹來）,0,,單方,1.5,1040201,9991231,皇佳化學製藥股份有限,錠劑,GLIPIZIDE,A10BB07,
,AC363951G0,GLIGLUCON TABLETS 5MG (GLIPIZIDE) ”ROYAL”(鋁箔/膠箔),克醣錠５公絲（格力匹來）,0,,單方,2,1040201,9991231,皇佳化學製藥股份有限,錠劑,GLIPIZIDE,A10BB07,
,AC36396100,MENCHUAN TABLET 100MG (TICLOPIDINE),免栓錠１００毫克（梯可比定）,0,,單方,3.53,1110101,9991231,瑞士藥廠股份有限公司,錠劑,TICLOPIDINE HCL,B01AC05,
,AC36399100,”SILYGEN-F.S.C. TABLETS 35MG ””H.C.”” (SILYMARIN) ”,斯麗肝糖衣錠３５公絲（思利馬林）,0,,單方,1.5,1110101,9991231,衛肯生技製藥股份有限,糖衣錠,SILYMARIN (FRUCTUS CARDUI MARIAE EXTRACT),A05BA03,
,AC36402209,MENITO INJECTION 50MG/ML (DIMENHYDRINATE) ”ORENTAL”,免暈吐注射液５０公絲／公撮（氯苯　二苯安明）,1,ML,單方,15,1051201,9991231,東洲化學製藥廠股份有,注射劑,DIMENHYDRINATE,R06AA02,
,AC36403100,STAYBAN TAB. 50MG ”YC” (FLURBIPROFEN),”元宙”捕痛錠５０毫克（夫比普洛芬）,0,,單方,1.5,1080401,9991231,元宙化學製藥股份有限,錠劑,FLURBIPROFEN,M01AE09,
,AC364031G0,STAYBAN TABLETS 50MG”Y.C.” (FLURBIPROFEN(鋁箔/膠箔),”元宙”捕痛錠５０毫克（夫比普洛芬）(鋁箔/膠箔),0,,單方,2,1040201,9991231,元宙化學製藥股份有限,錠劑,FLURBIPROFEN,M01AE09,
,AC36410100,MODONE TABLETS 10MG ”EVEREST” (DOMPERIDONE),”永勝”莫吐錠10毫克(多普利杜),0,,單方,1.5,1030801,9991231,永勝藥品工業股份有限,錠劑,DOMPERIDONE,A03FA03,
,AC364101G0,MODONE TABLETS 10MG ”EVEREST” (DOMPERIDONE),”永勝”莫吐錠10毫克(多普利杜),0,,單方,2,1030801,9991231,永勝藥品工業股份有限,錠劑,DOMPERIDONE,A03FA03,
,AC36413329,SEU-SU CREAM 1MG/GM ”CHINTENG” (TRIAMCINOLONE ACETONIDE),”井田”速舒乳膏１公絲／公克（丙特安皮質醇）,10,GM,單方,12.1,1031001,9991231,井田國際醫藥廠股份有,軟膏劑,TRIAMCINOLONE (ACETONIDE),D07AB09,
,AC36422100,MEPRIM TABLETS 100MG. (TRIMETHOPNIM) ”JOHNSON”,邁沛霖錠１００公絲（每索匹林）,0,,單方,1.5,1001201,9991231,強生化學製藥廠股份有,錠劑,TRIMETHOPRIM,J01EA01,
,AC36425100,KERFENMYCIN CAPSULES 500MG (CEFACLOR),佳菲黴素膠囊５００公絲（西華克樂）,0,,單方,8,1000601,9991231,永信藥品工業股份有限,膠囊劑,CEFACLOR,J01DC04,
,AC36426100,KERFENMYCIN CAPSULES 250MG (CEFACLOR),佳菲黴素膠囊２５０公絲（西華克樂）,0,,單方,3.35,1110101,9991231,永信藥品工業股份有限,膠囊劑,CEFACLOR,J01DC04,
,AC36427100,”BACLOFEN TABLETS 10MG ””ASTER”””,貝可舒錠１０公絲（貝可芬）,0,,單方,1.5,1040201,9991231,安星製藥股份有限公司,錠劑,BACLOFEN,M03BX01,
,AC36430100,COAN CAPSULES 250MG ”S.C.” (NIFLUMIC ACID),”十全”克炎膠囊２５０公絲（尼福密酸）,0,,單方,2.34,1120401,9991231,十全實業股份有限公司,膠囊劑,NIFLUMIC ACID,M01AX02,
,AC36431100,GLIBETIN TABLETS 5MG (GLIPIZIDE)”JOHNSON”,格津錠５公絲（格力匹來）,0,,單方,1.5,1001201,9991231,強生化學製藥廠股份有,錠劑,GLIPIZIDE,A10BB07,
,AC36454100,MEZOLIN CAPSULES ”EVEREST”,”永勝”滅嗽寧膠囊,0,,複方,1.5,1030801,9991231,永勝藥品工業股份有限,膠囊劑,DEXTROMETHORPHAN HBR+LYSOZYME CHLORIDE+POTASSIUM CRESOLSULFONATE,R05FA02,
,AC364541G0,MEZOLIN CAPSULES ”EVEREST”,”永勝”滅嗽寧膠囊,0,,複方,2,1030801,9991231,永勝藥品工業股份有限,膠囊劑,DEXTROMETHORPHAN HBR+LYSOZYME CHLORIDE+POTASSIUM CRESOLSULFONATE,R05FA02,
,AC36469212,B. B. INJECTION 150MG/ML (CLINDAMYCIN),比比黴素注射液１５０公絲／公撮（克林達黴素）,2,ML,單方,15,1050801,9991231,瑞士藥廠股份有限公司,輸注液,CLINDAMYCIN (PHOSPHATE),J01FF01,
,AC36475100,CIRCULON F.C. TABLETS 9.6MG ”PBF” (GINKGOFLAVON GLYCOSIDES),”寶齡” 樂立循膜衣錠９．６毫克（銀杏葉類黃酮配醣體）,0,,單方,1.68,1120401,9991231,寶齡富錦生技股份有限,膜衣錠,GINKGO BILOBA EXTRACT,N06DX02,
,AC36480100,ANWENIN TABLETS 500MG ”C.L.”,”嘉林” 安胃寧錠５００毫克,0,,單方,1.5,1061001,9991231,嘉林藥品有限公司,錠劑,SUCRALFATE(=BASIC ALUMINUM SUCROSE SULFATE),A02BX02,
,AC364801G0,ANWENIN TABLETS 500MG ”C.L.”(鋁箔/膠箔),”嘉林” 安胃寧錠５００毫克,0,,單方,2,1090401,9991231,嘉林藥品有限公司,錠劑,SUCRALFATE(=BASIC ALUMINUM SUCROSE SULFATE),A02BX02,
,AC36481312,ANTIVIRS CREAM 50MG/GM,安特斯乳膏５０公絲／公克（艾賽可威）,2,GM,單方,17.3,1040401,9991231,人人化學製藥股份有限,乳膏劑,ACYCLOVIR,D06BB03,
,AC36481317,ANTIVIRS CREAM 50MG/GM,安特斯乳膏５０公絲／公克（艾賽可威）,3.5,GM,單方,17.3,1040201,9991231,人人化學製藥股份有限,乳膏劑,ACYCLOVIR,D06BB03,
,AC36481321,”ANTIVIRS CREAM 50MG/GM (ACYCLOVIR) ””GCPC”””,安特斯乳膏５０公絲／公克（艾賽可威）,5,GM,單方,40.4,1120401,9991231,人人化學製藥股份有限,乳膏劑,ACYCLOVIR,D06BB03,
,AC36481325,ANTIVIRS CREAM 50MG/GM”GCPC”(ACYCLOVIR),”人人”安特斯乳膏５０公絲／公克（艾賽可威）,7.5,GM,單方,42.1,1120401,9991231,人人化學製藥股份有限,乳膏劑,ACYCLOVIR,D06BB03,
,AC36481329,ANTIVIRS CREAM 50MG/GM (ACYCLOVIR) ”GCPC”,”人人”安特斯乳膏５０公絲／公克（艾賽可威）,10,GM,單方,42.4,1120401,9991231,人人化學製藥股份有限,乳膏劑,ACYCLOVIR,D06BB03,
,AC36483100,CLEAROL CAPSULES 300MG (GEMFIBROZIL) ”H.S”,”華興”清脂膠囊300公絲（健菲布脂）,0,,單方,1.5,1060401,9991231,華興化學製藥廠股份有,膠囊劑,GEMFIBROZIL,C10AB04,
,AC364831G0,CLEAROL CAPSULES 300MG (GEMFIBROZIL) ”H.S”,”華興”清脂膠囊300公絲（健菲布脂）,0,,單方,2,1020601,9991231,華興化學製藥廠股份有,膠囊劑,GEMFIBROZIL,C10AB04,
,AC36484100,METIPINE TABLETS 300MG ”KOJAR”(TRIMETHOPRIM),”國嘉”滅菌錠３００公絲（每索匹林）,0,,單方,2.05,1031201,9991231,國嘉製藥工業股份有限,錠劑,TRIMETHOPRIM,J01EA01,
,AC36485100,FUKON TABLETS 50MG ”KOJAR” (FLURBIPROFEN),福康錠５０毫克（氟白普洛芬）,0,,單方,1.5,1080401,9991231,國嘉製藥工業股份有限,錠劑,FLURBIPROFEN,M01AE09,
,AC364851G0,FUKON TABLETS 50MG (FLURBIPROFEN)”KOJAR”(鋁箔/膠箔),”國嘉”福康錠５０毫克（氟白普洛芬）,0,,單方,2,1060201,9991231,國嘉製藥工業股份有限,錠劑,FLURBIPROFEN,M01AE09,
,AC36500321,SHU-BA-HANI CREAM ”CHINTENG”,”井田”消疤痕乳膏,5,GM,複方,23.9,1120401,9991231,井田國際醫藥廠股份有,乳膏劑,ACETAMIDOCAPROIC ACID -EPSILON (=ACEXAMIC ACID)+NEOMYCIN (SULFATE),D06AX04,
,AC36500329,SHU-BA-HANI CREAM”CHINTENG”,”井田”消疤痕乳膏,10,GM,複方,27.5,1120401,9991231,井田國際醫藥廠股份有,乳膏劑,ACETAMIDOCAPROIC ACID -EPSILON (=ACEXAMIC ACID)+NEOMYCIN (SULFATE),D06AX04,
,AC36500335,SHU-BA-HANI CREAM”CHINTENG”,”井田”消疤痕乳膏,15,GM,複方,51,1120401,9991231,井田國際醫藥廠股份有,乳膏劑,ACETAMIDOCAPROIC ACID -EPSILON (=ACEXAMIC ACID)+NEOMYCIN (SULFATE),D06AX04,
,AC36503100,CONAPIN TABLET,可拿平錠,0,,複方,1.5,1080401,9991231,瑞士藥廠股份有限公司,錠劑,ACETAMINOPHEN (=PARACETAMOL)+CODEINE PHOSPHATE,N02BE51,
,AC365031G0,CONAPIN TABLET(鋁箔/膠箔)(21粒/瓶),可拿平錠,0,,複方,2,1020201,9991231,瑞士藥廠股份有限公司,錠劑,ACETAMINOPHEN (=PARACETAMOL)+CODEINE PHOSPHATE,N02BE51,
,AC36506100,”SUNPYLON TABLETS 50MG ””MACRO”” (SULPIRIDE)”,”瑪科隆”舒必朗錠50毫克,0,,單方,1.52,1120401,9991231,盛雲藥品股份有限公司,錠劑,SULPIRIDE,N05AL01,
,AC365061G0,”SUNPYLON TABLETS 50MG ””MACRO”” (SULPIRIDE)(鋁箔/膠箔)”,”””瑪科隆””舒必朗錠50毫克”,0,,單方,2,1040601,9991231,盛雲藥品股份有限公司,錠劑,SULPIRIDE,N05AL01,
,AC36508100,OFLOCIN F.C. TABLETS. 100MG (OFLOXACIN) ”H.S.”,”華興”歐伏菌膜衣錠１００毫克（歐弗洒辛）,0,,單方,1.55,1120701,9991231,華興化學製藥廠股份有,膜衣錠,OFLOXACIN,J01MA01,
,AC36510209,CEFZONE FOR IM/IV POWDER FOR INJECTION,安治妥肌肉/靜脈乾粉注射劑,1,GM,單方,113,1120401,9991231,意欣國際有限公司,乾粉注射劑,CEFOPERAZONE (SODIUM),J01DD12,
